ID,Название,Ключи,Данные
658,Регенерация,el,3696751645 2785316279 1906736794
659,героя уменьшается на {0:,4',1915225467 243907829 1269009534
660,но каждое,yu,3190631799 40039068 1511182364
661,восстановление,c%Mz,309361835 2091149903 3241179065
662,наносит (,"TK, c?",1216147507 2036833148 1528934831
663,Количество регенерации,J_G,2899945736 3955657650 3521266177
664,магического урона противнику.,"v0gs, M=X",4281374911 3593016067 4165231823
665,Стрела боли,,3480176098 682330539 2338675705
666,"Выпускает теневую стрелу, наносящую противнику {0:",QH,922602527 2999856772 3733653533
667,магического урона и уменьшающую восстановление противника на {2:,"~}Z, ]"".",1583449415 275788205 1577034635
668,в течение {1} секунд.,Q.,3746183821 3708138933 3788978290
669,Гоблин-инженер,"5q, ]}%}gC",84835929 4106588406 2648380240
670,Инженерное обновление,"q1, >kH,",3502999820 1097906892 1020879254
671,"Увеличивает магический урон на {0} за каждый уникальный навык, которым вы владеете.",/*++,2076495358 767588508 3862718727
672,Огневая мощь,"4J, 1!",3170594979 863810236 1996530397
673,"Выпускает {0} ракет, обстреливающих врага, каждая ракета наносит ({1} + уровень героя",zt,189809662 56414676 3827496838
674,физического урона.,"x/O, \^",3359075111 4123884979 3871995539
675,Разрушитель зла,"""Z, X)",1899588067 923164084 855657626
676,Обнуляющая атака,"39, NXu",3963603206 1876920058 1579404897
677,Каждая базовая атака уменьшает,F0C,3916080777 3276911130 310235999
678,Энергию,"lofo, M{",1825751663 1145530182 1787819903
679,противника на {1},1N,3588060870 4214703282 516842578
680,Взрыв пустоты,.7:,2519868979 778357519 4205413829
681,"Концентрирует энергию пустоты для удара по врагу, мгновенно нанося ({0:","Z5, TZC",3992734590 1683405188 3077415604
682,Уклонение врага,,2646923681 2073456026 2513794715
683,аг.урона.,"F>, Bk~, pv=""+",3004093120 3899463050 2944866467
684,Огненный Джинн,"@A, wl|",333271406 1574145742 242075932
685,Зацикленное заклинание,m~i,2430448668 1085490120 1618677421
686,У ультимейта есть шанс ({0}+,"DypR, :,",229485792 3116583574 3863223321
687,крит,6Mm>,3329460496 805163648 1754835368
688,"сработать повторно, вплоть до {2} дополнительных применений. (Повторные применения не учитываются в лимите).",qz,1626291482 3100060539 468722131
689,Огненный шар,"LbJ, we",216492459 2418252360 784710328
690,"Бросает во врага огненный шар, наносящий {0:",)*,4280274769 3726923077 1211172064
691,Маг.урона и оглушающий его на {1} с при попадании.,"D~, =L",181079601 2005587892 1653601495
692,Гигант из глубины,0A,3786203219 3299188143 785953838
693,Упругая кожа,"p@, yH",581217414 2485741828 3387492451
694,Каждые {0} потерянных,lK,1585515761 2324389374 880704370
695,снижает количество стаков,Ou,3266590834 3327597639 3542626187
696,яда,&v,3742056146 2291149893 416503268
697,на герое на {1} .,"!`, ,""+, rq",3829366675 1507989441 667789110
698,Нарастающий прилив,"iz, u|",1627592207 1935086940 2316124386
699,"Вызывает водяной смерч, охваченный грохотом волн, который поражает врага, нанося ({0:",,2254995061 443553939 3167416760
700,потерянное,"KB;, /hJ, :fN",206010571 1397287966 1100717027
701,Маг. урона и накладывает столько же стаков,$Y+,712561131 3160204449 1775317393
702,на противника.,}{,2343718719 1596187605 3711707696
703,Ядовитый Гриб,"Xj, ,_h, QHZ",3240064994 1157987768 2939304413
704,Активный Токсин,,3017461512 1918871118 598711811
705,"Когда на поле находится живой дух, враги получают дополнительный","1V, jRs",2749007962 1301536569 4265803498
706,урон от яда,"sP, W^, qR",2191172727 2540906404 3930987839
707,равный (,"Ty, COi\",1917641319 448665292 935791935
708,текущее здоровье,%-K6,1948617870 3662778057 1779830010
709,противника,"lR, Y/",1279201418 3941830513 1264410219
710,Едкий Яд,"J!, \*4",2079794606 391122717 2192976999
711,"Сгущает яд, наносящий урон врагам, снижая их",D!,3412852279 3329487886 1299573220
712,скорость атаки,"cI, f!",803957481 714151100 2330609268
713,и накладывающий {2:,"zvR, d@AA",2113733749 37451560 677834791
714,каждые {1:,,1880248376 105558027 2982666403
715,секунд в течение {3} секунд.,"FQ, -uyd, }{n*s",2663862404 675339968 2816010973
716,Древо-защитник,)\8,114976388 1809795190 1319212336
717,Колючие шипы,;W,772364562 2653844117 3953611093
718,"За каждые {0} урона, фактически заблокированных","[Zu, 08q, ""}",2899565658 1252764558 4002795665
719,Щитом,Y&,2810685323 3574471478 3447429295
720,выпускает энергетический заряд во врага и наносит {1} Маг. урона .,"NW^, -*H",587662416 729810338 2522346428
721,Охранник природы,zP7,3124491770 3372096384 977883444
722,Вызывает,tb!f,499370815 513081733 598373273
723,с {0},",v",318312605 692720069 3201255084
724,т герою {1:," n:, mFg",3031114636 259921166 1101501432
725,и уменьшает,"%js, Oy",4059513035 3366426854 1442219734
726,Долю урона духа,"#B8, -z",1125988818 1904716521 820257352
727,длительность {3} с.,,927901501 397348215 2336297897
728,Лунный Охотник,,1503328801 869715409 3928385762
729,Пир Охотника,"CA8, k', G[",322788145 1149512283 2184198362
730,"После попадания обычной атакой по врагу наносится дополнительный магический урон, равный (","4qx, q[, @D, vg",979280432 4148578105 1023103632
731,вражеского героя,">~K,  ^R*A",333376313 252402664 3765599314
732,восстанавливается,"%,, O3",4108077725 3638500374 365299593
733,такое же количество здоровья.,"Eg, 2w",2001587003 616908358 1425627231
734,Неистовая Стойка,"j:-, ge",1914231626 2969437439 3935749090
735,"Входит в неистовое состояние, похищая у врага {0:",CIc+,3673858328 1168457832 4139145817
736,скорости атаки,^X2,3873110801 83184603 1379779430
737,и увеличивая эффективность,Uq,4243991315 987712741 3451103428
738,восстановления,,3617272791 3352720866 547234963
739,здоровья на {1:,"cM, Gd",2251280883 4292500969 948355301
740,на {2} сек.,"Kne, kP, 4P",2277982594 2313384112 732748561
741,Лесной рейнджер,"?K, wA, >%M",1024492771 3136548197 1021626877
742,Град стрел,,4122043048 2381461585 1932729566
743,"Выпускает {1} стрел во врага каждые {0} с, каждая из которых наносит {2} Физ.урона. Когда применяется Ультимейт, он сокращает перезарядку града стрел на {3} с.","[c, [Y",4130564096 1044089599 2490760543
744,Скрытая стрела,,2592284094 1775795919 1553101545
745,"Выпускает световую стрелу, наносящую врагу {0:",")7J1w, gs~",2329875600 3261717515 3306792879
746,Маг. урона. Уклоняется от следующих {1} физических атак.,Z},2556804509 1586937454 1505472247
747,Чумной Доктор Скелет,"=t.z, ]""^",3642182136 2651087921 3842445190
748,Костная гангрена,"-4, +i{%, v;R",3124847925 92887354 69013523
749,При наложении эффекта,,2477781129 1412016651 3374882067
750,"если количество слоев больше {0}, дополнительно накладывает ({1:","hU, F3",4092952007 3305228128 4083781836
751,уровень героя) слоев эффекта,"9ll, .-?[, |&s",2415916646 723320098 913399004
752,Костяной щит: Отдача,",2, tPB",885360440 374187796 2425710914
753,Получает {0:,o^,245476791 704387359 475845437
754,сл. эффекта,"*{.&, fG>",4080090853 3518014831 2206849911
755,и переходит в состояние контратаки. Когда,"Y@, d9&",1187849594 2620572924 896773406
756,"расходуется, на врага накладывается эффект","2I, _uA",355413762 2292889326 2537443374
757,"в количестве, равном израсходованным слоям (но не более {1}), на {2} сек.",,38398551 738634298 3098998657
758,Кровожадный берсерк,"1\e5, b~, Pa",1225138632 4121850040 129603979
759,Разрастание Плоти и Крови,"VTK^, f|,, iM",3075906328 1725244395 1272149019
760,Критические атаки,".N, Z+",480766410 3669743522 366339020
761,крадут у противника (Ваше Макс.,"ta, <> , `=",2403855373 2859804234 1773104101
762,единиц,"->, B#",1543008446 1426757632 2834736662
763,Сегментация плоти и крови,u{,1232152510 3307734764 3123919466
764,"Призывает острые лезвия, чтобы разделать врага и мгновенно нанести ({0:","*Un, 8haJV",3934523718 1994582631 3310305010
765,разницу между,Rf,1306461148 199039992 1738503874
766,максимальным количеством здоровья,,1616930830 2870971835 1709316139
767,сторон,"""V\",2235447030 3799099413 3249885850
768,Яростный маг,)c,961788106 2304164522 899368196
769,Тактильное воздействие,"SIY, hy",4200044533 3694513021 1612414113
770,врага,"O""`",869621361 599617291 90417545
771,падает ниже {0:,,2360778307 2794665342 1881230733
772,каждые {1} с увеличивает,"K>, xt(",80763619 4195292986 635882998
773,Ярость,3]D,1469717722 679546851 2198346324
774,героя на {2} в течение {3}с. Может быть активирован только один раз за бой.,"gu, fp",878397823 364907975 3438975783
775,Луч разрушения,"=O\, SD",1380604622 980824889 3685790470
776,"Выпускает луч, заряженный разрушительной энергией, наносящий противнику ({0:","J9]s, _$n",2790140400 2385712023 2627388857
777,сумма ярости обеих сторон,"qE, ];D",2326280233 3257081509 2903008075
778,Пиромант,,1396541637 3241606292 630004336
779,Раскал,"P#, \^R",3844829590 1179030521 2657436784
780,нная Энергия,,3533303085 2101205034 3976602478
781,За каждые {0} ед.,S.l,634985303 1960295471 3756788827
782,Ярости,VW,463527153 232839759 2340824843
783,восстанавливает {1} ед.,,626886552 3228871102 2961416202
784,Огненная Комета,XA~_,1612845349 2743223444 2982775727
785,Наносит врагам магический урон в размере ({0:,VS,2485093631 3452441870 3956317921
786,Текущая ярость,"j|_$, TY",51229231 4021064902 2268614743
787,Багровый Клинок Шура,"pP@, }X",3088387153 4050824501 776494415
788,Ярость Шуры,"Te, !>, is",3529720311 4134662247 2532053839
789,"В состоянии ярости получает бонус к скорости атаки, равный бонусу к урону.","N!, dp",3114457707 811066556 243751872
790,Серия ударов демонического клинка,"*"", h;",2822093208 2511290415 3381943525
791,Зачаровывает оружие. Следующие {0:,"w7, q>",2336752982 3066131621 1798113949
792,наносят дополнительно {1:,+Z,1619852043 1131752616 3848714329
793,маг. урона и восстанавливают {2:,"Y"", u(",2315638499 4139235551 205889755
794,при попадании.,".|, to, 4x",3608285759 1715226517 1478416717
795,Сшитый бегемот,"!go, 62",3813331327 449743712 763226966
796,Изменение плоти,ZC_,3393844553 2165580490 104887422
797,"После того, как","87, {h",1687094668 148216921 4055635791
798,"умрет, превращает  {0:",/0,3535370280 2876445127 2665216348
799,героя в  нового,{x(T*,236132033 373003573 2080220382
800,"Изменение плоти невозможно, если здоровье","&>, xE",3985966890 2923991661 3255967612
801,героя,"=q, {i+, <U",1283507373 2946119843 3040409725
802,ниже {1}.,"x]i, q"", BE",2773682321 1783546989 2304262456
803,Призрачный удар,";#, ,-",4182010234 4054803414 3639661226
804,"Посылает ударную волну, наносящую противнику ({0:",-j,1023726898 2945946759 305997119
805,Количество духов,O>B,832151197 3695948867 3450322143
806,вызванных в этой битве{1:,"50&, s'/-@, E$",1134229445 3497216355 3248499792
807,Тихий страж,"Vg, G8",2057392894 3751853491 1244525710
808,Поднять щиты,"[-, 091, np",2487721062 721084281 1371413144
809,В состоянии ярости каждый стак,"8R, Xr",4143264876 2884659062 2566723730
810,щита,Gw0q,815696507 155656917 879319613
811,дополнительно поглащает {0} единиц урона.,"rR, G`",3970331656 1930974768 447229124
812,Псионическое эхо,"FyuV, ]G",2244821254 1328084448 1820536106
813,"С неба падает концентрированная энергия, наносящая ({0:",2o,3256061443 1708150762 2216622954
814,фактическое поглощение урона щитами,#5pO3,1660687566 2424464498 1563692097
815,накопленным между двух применений ультимейта,tc,1113837185 2231411210 2634573616
816,единиц магического урона противникам.,"$5, ?{",2031201079 3935838365 573901881
817,Капитан Пингвин,"-1, :u",4067356698 2477868323 2323882780
818,Холодное Питание,0 ,2061503350 1510131021 1203566606
819,Каждые {0:,2GL,825343838 65764681 2574044192
820,секунд,"(TcPC, vy",588086321 2343440686 2933860652
821,стаков заморозки,"-kD, Uy\, ;/%(",2918614232 958510205 978341154
822,здоровья.,4I,2728066387 1257661796 898853311
823,Морозная Сфера,"'G, $~",3125653345 1845775337 1252084026
824,"Запускает сферу в противника, нанося ({0:","Uw, #a, (p",3215444884 385945134 3967757141
825,общее восстановленное здоровье во время полета сферы,O)F+,2667429758 4038716690 3446006319
826,магического урона при попадании.,}/,2616508601 2769056236 104712285
827,Кровопролитный монарх,,4212461397 718405721 247903905
828,Ядовитые клыки,".]g, I*",2123658938 112735407 2362028160
829,Ваш," t, S]1w",23236079 3643897477 1806602445
830,ядовитый урон,"WG, yb",3264718728 1667615015 4289447255
831,также может нанести критический урон с фиксированным шансом {0:,"Mi7, edD*",2559819909 1723867392 4275951254
832,Ядовитая оболочка,"$^s, c8",323463379 1807510152 3907717367
833,"Стоя на токсичном болоте, наносит {1:",^',3297379937 4108233960 3033100744
834,"на врага каждые {0} с, ускоряет нанесение","<_hi, km",4196830883 290822331 4155212965
835,ядовитого урона,"{L, 2fd, Td5a",1565282980 207355282 3117631559
836,длительностью {3} с.,"b(, Hj",1114741496 2320109786 364794750
837,Ледяной дух,,3323894982 3582525848 557017596
838,Водяной пар,"-8, hX",3402087954 4087008189 1407818713
839,Базовая атака,,1387479473 2834039101 4124618051
840,"поражает врага, она наносит дополнительные (",?h,4118802592 3938408398 766041192
841,Ваша базовая атака,"8"", >'",463646375 1212933917 731705210
842,базовая атака врага,"2%, :c, %{?Q`, nzQ",4108558535 3596341384 2808026611
843,Мощь стихий,,693662136 1548134894 2480217392
844,героя на {0:,vUE,2609002859 732664279 3206969167
845,которая заканчивается после запуска базовой атаки {1:,"xO, m/X, ^Z",2867755021 801707130 3768625680
846,раз.,"qc`, !7",2608972200 3902562693 2604437620
847,Перцовый Стрелок,"nK[, >D, Tr",2942448994 1073902836 3960646309
848,Взрывная пуля,,273152942 1280171930 1019239674
849,За каждые накопленные {0} очков,Raj ,3072662366 1159863278 2422158366
850,"выпустите пулю, которая нанесет {1} магического урона. Если одна пуля наносит вражескому герою более {2} урона, выстреливается еще одна пуля.","""G",1394347752 2606977017 654437532
851,Зачарованная пуля,85],46818808 3497436657 1577981159
852,"Выпускает пулю и проклинает врага, длительностью {4} секунд. В течение этого периода накладывает {3:","z}, n@, #0[zL1",3728541318 1027097235 1672984161
853,на врага каждые {2} секунды.,@L,1528986770 798830879 369720014
854,Лесная Дриада,"T\, t/, x1G",1461192684 2325213057 2123967508
855,Дикая Поддержка,ri,3029067931 4159627848 2844391568
856,Каждые {0} секунд после начала боя на помощь приходит,"u , r)",2886860304 3844517085 2892104567
857,ДУХ,"dZ, Rs, m1r",743451780 3286480856 3852681237
858,обладающий запасом здоровья: ({1} + уровень героя,wO,1758378955 1703313584 4177712919
859,Дикий Рост,^v,3967351721 3326168263 2707767998
860,"Призывает силы дикой природы, нанося врагам ({0:",zu,3872583887 2740375465 1437152474
861,количество,"t>*, (m, Q3, qD",2857935905 1984734681 1323587207
862,ДУХОВ,"cKg7y8, :L",3450150694 3431735750 1903829589
863,на поле,n.j,3112114212 4075050936 1067447227
864,единиц магического урона и восстанавливая {2} очков здоровья тому,",Z, p2",2220428599 296022364 1560849592
865,ДУХУ,Zr,4274276315 1314939805 2636146285
866,у которого наименьший процент здоровья,"dF, 7)",1924558572 3472534611 876257231
867,Матриарх злых духов,rT,390267565 1319136133 3670903542
868,Демоническая Сокровищная Бусина,"_6, g)x",607624389 2578055064 458574562
869,Каждые {0} секунды дополнительно восстанавливает ({1},"%/, Ay, BG, ,1, N&",3948978902 3341201208 4131151763
870,процент потерянного здоровья,"~3, <z, YU",630996936 3098660410 3507930021
871,Вытягивание души,,2049367855 4158340211 765003971
872,"Посылает злых духов на врага, которые наносят ему ({0:","}`, r=",1825552548 616051075 649563254
873,максимальное здоровье,"bs, Vcf",2572614945 3992644628 2175796947
874,единиц магического урона и  крадут,"Uh, Ql, jA",3390070598 1134220805 3520780149
875,"равное количеству урона, полученного вражеским героем.","cr#, R:",694209586 3799401118 1488275446
876,Охотник на волков,"?@, %|",1502153425 1890813592 2067965382
877,Мародерство,,3931315324 3998904583 990573436
878,После каждой победы в бою захватите {0} + (Количество побед подряд,"bC, )=w, N3",1542648143 280166766 2914741547
879,"золота у противника, но не более {2} золота.","r], YV",390215620 4292841571 1430977505
880,Бросок сетки,gN,3709334526 2089305920 4154667380
881,"Бросает сеть, чтобы поймать врага в ловушку, оглушая его на {0} секунд (невозможно атаковать, увернуться или использовать ультимейт).",\%,586913274 1523482323 254860928
882,Племенной дух,,1964347559 4257003265 530545165
883,Жажда крови,%7,3970082811 2739897940 3662438209
884,"Племенной дух боевого духа наполнен жаждой битвы, увеличивая урон игрока на +{0}",]k,2810028056 3441649967 3469002176
885,Копье жертвоприношения,v4mK,3966646409 1202667992 129767300
886,"Бросает во врага копье света, которое при попадании наносит ({0} + урон игрока",v7A,3149895395 1895948811 1678719088
887,магического урона.,,2049032938 3389341182 2584436963
888,Дворф ветеран,h{,3522270014 79595439 1311369819
889,Выстрел в голову,,1555474501 634387066 1152956197
890,Каждый,"t/, 87t, 5F",300651049 3434533998 3457948131
891,критический удар,"Hz, 8I",3511492678 1722380279 1672503002
892,дополнительно оглушает на протяжении {0} секунд после нанесения урона.,"2_, ,Y",2217542518 2518852326 3394595929
893,Быстрая Очередь,"V3, |T",2787476863 3973349501 951197121
894,"Выпускает непрерывные взрывные снаряды, наносящие {1:","o1y, ""I",119154207 3079678044 1634760103
895,"физического урона противнику каждые {0} секунд, в течение {2} секунд.",^h,4050936507 2368257935 3009351757
896,Предложено игроком:,"!)), DC",3405738299 4265957946 2980169118
897,Воевода,"/!m, A*",1017459179 1567529074 2747365276
898,Молот войны,"7=', |M",2798431611 1363376475 2817847013
899,крит.,I+,1939525040 2796102945 1580637466
900,наносит доп. урон в размере {0:,"Vs, CX, nYd",2498624703 326636453 642128015
901,макс.,g9,2350017995 4174923494 3673561137
902,Героя,"#Q, pZ, S;O",3915768456 3407890381 1981242738
903,Инферно Раздора,"X5&M, SZ",4148966352 3165595222 1914856074
904,"Высвобождает {0} языков пламени во все стороны, поражая врагов. Каждый язык пламени наносит {1:",,2410066981 3588306551 3820495141
905,физ. урона.,"9!, Qa",1104084968 3410218750 2180865829
906,Демон-герцог,"3Ag, fE",217536708 2946499594 1359087130
907,мное усиление,!^,2359039666 1856860069 244305327
908,Во время боя {0:,,3863142071 1800904805 1732221927
909,полученного исцеления,"I!, Wzd , E<*yn",1943630310 3623593687 203382527
910,на этот бой увеличивает,"=^H, Km",3710201417 251993478 2499589729
911,Пламя Возмездия,"|4, zK",617555803 1557234158 215082474
912,"Призывает пламя возмездия на врага, нанося ({0:","#z, Y , p[Y5",2005645839 860538809 1207751994
913,сумма,,273820376 3997616798 3097793963
914,обоих Героев,T[i|,4277676724 3260867840 68676069
915,маг. урона.,,4148169366 2107668022 2352595254
916,Пророк Леденящего Света,"Wo, eT, b=",3128858376 3792625725 2850450348
917,Сфера чумного холода,"{%, vT",2235441180 1361644355 83297042
918,При наложении,"(Dqh, M1",2034914226 86629749 1952737479
919,"на врага, с шансом {0:",">F, SZ, 4%",475453041 1192557510 2930477743
920,накладывается {1} стаков,",X:/, ~M",2355392070 3763468667 762559290
921,Леденящий яд,5O%,1325499419 723093873 220472158
922,"Бросает во врага {0} особых флаконов, каждый накладывает {1:",,3551173588 4285070875 456704835
923,За каждые {2:,"a<, S.",2094564230 2680582904 952750608
924,потерянного врагом,^o9,4065141824 2680760598 154329314
925,кидает еще {3} флакона.,xn,1988144547 2157691484 1819368697
926,Скряга,"YA), mo], #c",418804731 1637961501 3732175684
927,Накопление Богатства,"2k*, l?)",1883424218 1553149263 219866896
928,Увеличивает базовый лимит дохода от накоплений на {0}.,JR,875727469 2395579291 276854122
929,Сила Денег,,624614978 3550050121 484750187
930,"Бросает золотую бомбу, нанося врагу ({0:",q),3848874776 321086060 3943936317
931,текущее Золото,~msb,146151153 663337778 2904079160
932,Дракон Повелитель,<]:m,2148996718 1356309834 815082368
933,Тело Повелителя,-}(,162354244 757356533 3428128598
934,За каждый уникальный навык увеличивает,"gu, E>, 5~, 8k",2883488169 3817452130 276966403
935,на {0}.,"j+, ^%, @4",954919692 2999454017 3459258160
936,Дыхание Тирана,"e1f, 2W",1019687960 1920206645 530698211
937,Выстрел драконьего пламени наносит цели магический урон в размере ({0:,"PG, N>",1747559068 458936029 201882145
938,сумма уровней обоих героев,AK,3001718283 945476866 2675492729
939,Охотник За Головами,p]Vz,2821524040 32320128 2371960510
940,Золотая Лихорадка,"cP, +r",3146696691 1317308021 3892222522
941,Каждый раунд за получение {0} базовых навыков вы получаете {1} золота.,"x8, X\n",3683878155 1617389613 3788063478
942,Залп Серебряных Пуль,xG,2434045823 1766501288 1328787060
943,"Выстрелить в врага {1} серебряными пулями, каждая из которых наносит {0:","U1, Xa",454617526 4103977895 1905507681
944,ед. святого урона,G&,2926677261 1357695164 1183979712
945,"за каждые {2} золота, имеющиеся у врага, выпускается дополнительно {3} пули.",./i,3408009394 175201003 3321659251
946,Ураган Небес,=O$,3195126692 424197990 636265966
947,Штормовой Импульс,"^{r, ^+",1763058908 1390371957 4050862976
948,"При нанесении урона, {0:","yQ, Z|q",670710065 1500126263 3404472965
949,шанс получить {1} зарядов,"{h%, xq, qE|",2405754875 1905701638 3064498873
950,Автор:,"]D, -?",3187313745 3918227730 1142628963
951,Тысяча лезвий бури,"tG, $ctX",4031063799 1140188158 2555473048
952,"Призывает бурю вокруг врага, нанося {1:",{[,1237068570 2018019760 323164358
953,магического урона каждые {0:,"3D, crT",3833605430 2794656970 3188673911
954,сек. в течение {2} сек.,V1,2427612943 2131096430 1143331017
955,Гоблин-артиллерист,"HW, lXV",4079990554 1796684702 3871814227
956,Особая доставка,,3534815483 2640603499 2532035388
957,"Каждый раз, когда вы выпускаете снаряд, не являющийся базовой атакой, вы также выпускаете его копию, наносящую {0:",Wq,462054676 3292082147 46372109
958,урона от оригинала.,"Qx, E#",3369308396 1061121415 1420496974
959,Залп,DY,3644861198 3743300565 1879152690
960,"Выпускает {0} случайных снарядов, не являющихся базовой атакой, каждый из которых наносит не менее {1:",KZZ,446880502 1753752427 1099421441
961,урона.,,3707691551 4215002082 3805403778
962,Доступные снаряды в этом матче:,N(,684199312 3841970772 2196349903
963,Открывается на {0} уровне героя),069qi,1446198649 2181596055 3336235853
964,снаряд,Re^,2372114070 3374295630 2253127105
965,Солдат Авангарда,")q, yd",2075901631 42702795 662291366
966,Бритвенный Доспех,"z2, SOH",3917752124 633997796 4144846334
967,Когда ваш,"?0, qW",2723572411 2474817137 2467078886
968,"блокирует урон, есть вероятность ({0} + ваш",sO,4145203485 2132026972 372640561
969,Шанс крита,+`,4099903521 1970649481 3961881636
970,нанести врагу ({2} + заблокированный урон,`l,3583748209 2935724503 3385545801
971,Щит-Бумеранг,7'S,1339430158 3618813207 2025386803
972,"Метает щит-бумеранг, который наносит {0:","S*, dk, JHt ",1303683740 681359196 2881209339
973,физ. урона и при возврате да,,1886198622 4287681792 4190722251
974,ед.,"mUUX5, >=",3179026562 179713647 1082486672
975,Если атака наносит,"#!y, $Jp",551952198 2750245840 1516986250
976,Критический удар,"'^W, t%, 0Zg",2374889301 1386719642 4035401911
977,щит бросается снова.,"?f, Ie",2702350722 1628271672 2158955168
978,Искоренитель Зла,"m@, nr, -1H",2289471222 3525769381 3444967094
979,Руководство Искоренителя,",|.",3404611436 889869360 814599503
980,Получите {0} золота за каждое полученное умение,"(u, 0$",2821480718 2983926875 3241373510
981,Противодействия,"mc, BHDv",4100147536 2583427936 3767187129
982,Гнев Правосудия,"""v, o`",2323509866 3359250357 2161875053
983,"Призывает с небес {0} священных клинков, каждый из которых наносит {1:"," E, Rf, !k",3569231723 350675313 2942631736
984,маг. урона. За каждое прокачанное до максимума умение Противодействия призывается +1 клинок.,"1R, DU",4148025877 1979839395 2986383231
985,ЛЕДЯНОЙ ПИТЧЕР,eMV,1775703667 2257795238 2733666992
986,НАКОПЛЕНИЕ ХОЛОДА,,3556844093 3403232338 2382530681
987,По окончании,}<,1661436355 3750389713 3393608959
988,ЯРОСТИ,"fB, gB",331745474 1258481045 3792355372
989,оглушите врага на {0} секунд. За каждые {1} стак,fP,2847752595 4048987665 1691639529
990,ЗАМОРАЖИВАНИЯ,"""4, Yi",4062152085 1805044442 934381447
991,наложенные на врага во время,,2761808127 1922691599 4246611572
992,длительность этого оглушения увеличивается на {2} секунды.,,3336370917 1208847488 1212354457
993,ГНЕВ ЗИМЫ,"=[, +70",174950400 83785617 3933901360
994,"Бросьте снежок в врага, нанося {0:",IN,1622230682 739457407 4262093209
995,ед. магического урона. Если вы находитесь в состоянии,p%,178405273 3420181392 1770753280
996,дополнительно наложите {1:,t0,1794550851 2893450072 1468414151
997,стака,GV,3018362156 836190377 3761960239
998,ЗАМОРОЗКИ,[k,1345245283 886072048 354512103
999,Смертельные Шипы,"{)k, zO",3059555445 1814383111 3398223311
1000,Конверсия Крови,"Jk, mQ, e{",165226582 3737890968 3398127197
1001,"За каждые потерянные {0} очков жизни игрока, увеличивайте максимальный запас {1} очков",kGp+,1487190838 2156964264 1211837489
1002,Распростран,p%,921495509 3147519721 3821259417
1003,нный Кровавый Туман,$I,676077527 3328027062 2538496935
1004,Выброс шипов наносит врагу ({0:,"7gO, tM%, 6R, F)",317301743 3954333490 3076671191
1005,потерянные жизни игрока,"]@, X8",733994893 1441773603 980203249
1006,Маг. урон.,"c4l, CXs, #(",3509533706 559276087 307656773
1007,ГОБЛИНСКАЯ КАТАПУЛЬТА,"6$, u1",968423503 2797242277 2183789684
1008,УСИЛЕНИЕ БРОНИ,"GLQ, }F0Uu",2909135888 4012852003 1865767451
1009,"Каждый раз, когда вы получаете",RQWI,359209547 3242662752 3465628422
1010,с вероятностью ({0}+ ваш,_S&,1417766513 2304888058 983289931
1011,вы получаете дополнительно {2} стака,"xJ, zs",3772036068 1639124349 2660644803
1012,ЩИТА,,4086337317 1552235970 3731510268
1013,ЗАРЯЖЕННЫЙ ВЫБРОС,oM1,726616829 1710421845 4136717640
1014,"Войдите в состояние зарядки длительностью {4} секунды, выпустите два огромных камня, наносящих {1:","\{, =f, lN&",977059800 345810945 2484121730
1015,ед. физического урона. За каждые {2} стака,"[se, ~a\",374200360 1483768237 1621458581
1016,"полученные во время состояния зарядки, выпускается один дополнительный камень.",jx,2743975061 905190847 1290925058
1017,Страж нежити,9H,3054255574 945002920 12315917
1018,Ледяная родословная,"{', oD",181250643 3090682209 2670406409
1019,Каждые {0} сек. восстанавливает,"1B], 9pHk, >d",156089154 2627380309 3758350764
1020,Духу,"x6O, }d",1031969293 2144710473 2755755043
1021,здоровье в размере (,">_, f|, Ga",610968554 371503434 3032206401
1022,стаки Заморозки,"n[, h|]",782854500 989784597 3258378058
1023,минимум {2}. (Лечение Духа не активирует навыки ветки исцеления).,"PPD, FRe, xXE",3394770862 2586400290 2259819624
1024,Ледяное господство,"I;""y",105154697 2632422685 1254651972
1025,"Выпускает ледяной шар во врага, нанося {0:","yh|!, WA|",1249840650 2872289783 3253452432
1026,маг. урона при попадании. Урон увеличивается на {1:,ZW){,2466479499 3256107841 4228731334
1027,за каждый звездный уровень ветки,"Mu, t""",3230350502 3272344039 3688843716
1028,Лед],">C, fhm5d",2500306852 4167884936 2851336867
1029,или,d\,1535613611 2331606219 1302146229
1030,Дух],"tn.<, Lm8",428556035 3478473763 2606116055
1031,ЗЕЛЬЕ ЛЕЧЕНИЯ,3w,3396888520 3107660287 2298674579
1032,Восстанавливает {0} жизней игрока.,+`,2919994100 818808494 3199029951
1033,КАРТА СКИДОК,"\`., :y",2660469214 369628940 1261096243
1034,При [обновлении] магазина навыков есть {0:,"51, *a",3460870567 2196063346 4157071575
1035,шанс вернуть {1} золота.,"!|, rm^2",232225760 402879227 2497840788
1036,ПЕРСТЕНЬ ТОРГОВЦА,}p<Kz,3396179947 3051618688 1318972446
1037,Первые {0} [обновления] в магазине навыков бесплатны. Получение этого сокровища стоит {1} золота.,2#,4236150585 919821244 2213493926
1038,Первые {0} [обновления] в магазине навыков бесплатны.,"PI, H,",3056367540 4081247802 717762808
1039,УБОРЩИК ПОЛЯ БОЯ,"4W, ;[",2067086347 2792704048 556260342
